,end,err_imf_avg,imf_avg,start,x_avg,y_avg,z_avg
1734,2006-08-01 15:15:00,1.5967884519554556,-0.4394999948729362,2006-08-01 14:10:00,-11.410857232549274,-10.422068749018992,0.2763750924950109
1735,2006-08-01 18:55:00,2.2026228947548163,2.587012503277511,2006-08-01 15:40:00,-12.93750196201538,-10.631604143776487,1.4103241249411396
1736,2006-08-01 22:15:00,1.5379606980880223,0.4454537031206269,2006-08-01 19:20:00,-14.470120685746174,-10.472767226495057,3.6045841399396576
1737,2006-08-01 23:55:00,1.7092714806348053,-0.7379999956323041,2006-08-01 23:15:00,-15.279443310835555,-10.038193899440172,5.259927797833935
1738,2006-08-02 00:30:00,1.3454194710374445,1.306249990438422,2006-08-02 00:05:00,-15.424867890964265,-9.887118715010725,5.661146863391409
1739,2006-08-02 01:45:00,2.756613492182496,-0.3523846186506441,2006-08-02 00:45:00,-15.584149330499981,-9.658705915023605,6.1901766417541015
1740,2006-08-02 02:10:00,1.1258543371662308,-2.549000014364719,2006-08-02 01:55:00,-15.689059802228849,-9.453382514518914,6.6167791555485795
1741,2006-08-02 06:25:00,2.610450766918305,-0.9569230836935537,2006-08-02 03:15:00,-15.821470686484027,-8.591212585875903,8.016066390575887
1742,2006-08-02 07:15:00,0.8290262879449076,-3.0910000026226045,2006-08-02 06:40:00,-15.735481086171715,-7.833601475435568,8.989012713859678
1743,2006-08-02 09:45:00,1.1455701228088961,-1.8782000036537645,2006-08-02 08:10:00,-15.463121958876155,-7.026353790613719,9.79770836603359
1744,2006-08-02 10:45:00,0.1992114247963961,-3.406800022125244,2006-08-02 10:25:00,-15.12732695024329,-6.319541673206718,10.383613247527858
1745,2006-08-02 11:25:00,0.866056578393904,-1.8679999999701973,2006-08-02 11:05:00,-14.955736932977553,-6.01560194631926,10.601538220059645
1746,2006-08-02 12:35:00,1.6999745736049794,-0.4353846027300908,2006-08-02 11:35:00,-14.713074870506984,-5.6248143631599925,10.854122647090783
1747,2006-08-02 13:35:00,1.2477555842323047,-0.7586666706535552,2006-08-02 12:55:00,-14.327072324247021,-5.06100559828389,11.173930483614992
1748,2006-08-03 08:10:00,1.295548071082402,0.1916000011563302,2006-08-03 07:50:00,1.3085543870663945,3.9260398681525666,4.29593470412808
1749,2006-08-03 14:40:00,0.033842741449008396,2.238666677474976,2006-08-03 14:30:00,-2.1796159681891907,-5.140951185057291,5.067859572019045
1750,2006-08-03 15:00:00,0.2090071921548439,2.1099999666213987,2006-08-03 14:50:00,-2.6710092607126037,-5.519175430335373,5.017527337414325
1751,2006-08-03 18:20:00,0.7173036766341774,0.19971428098423136,2006-08-03 17:50:00,-6.745364037939772,-8.088952171670739,3.7595353947574948
1752,2006-08-03 21:15:00,0.6246609835898174,-0.970499999358347,2006-08-03 18:35:00,-8.629138663356212,-8.953482398938371,2.7024062632287396
1753,2006-08-03 22:10:00,0.4167981158567991,-0.9916666607062022,2006-08-03 21:45:00,-10.453774917595355,-9.625464343640454,1.437320148589965
1754,2006-08-04 12:30:00,0.43400698783165415,-0.5214035082455964,2006-08-03 22:20:00,-14.301092027929919,-9.664989659834722,3.400077654503548
1755,2006-08-04 13:00:00,0.07887204521798974,-0.8056000041961671,2006-08-04 12:40:00,-16.16402448595197,-8.325349238738031,7.494804583267933
1756,2006-08-04 13:25:00,0.05350389720412328,-0.6810000032186508,2006-08-04 13:10:00,-16.17273583424894,-8.179171244702559,7.721315335112228
1757,2006-08-04 17:45:00,0.7186349920313848,-0.8373750095255672,2006-08-04 17:30:00,-15.814000941767382,-6.5884868937372465,9.63710563490818
1758,2006-08-05 15:50:00,0.1740612688898822,-1.1573333263397216,2006-08-05 15:40:00,-0.2591429916810548,3.896771830691153,6.446293098937896
1760,2006-08-06 03:20:00,0.41753182047481097,1.8360000212987264,2006-08-06 02:55:00,-7.008972950347931,-7.796892167634595,3.7794956312457493
1761,2006-08-06 03:50:00,0.1500173353801149,1.0408000069856644,2006-08-06 03:30:00,-7.61808193376236,-8.075404175168734,3.4848532412494118
1762,2006-08-06 04:35:00,0.1463925741412688,1.2512499943375588,2006-08-06 04:00:00,-8.284668811803485,-8.357479202636949,3.128198085072987
1763,2006-08-06 08:25:00,0.27578239737141974,1.1087499951322872,2006-08-06 07:40:00,-11.599325066708523,-9.386611207031864,0.7937058546539005
1766,2006-08-06 12:05:00,0.053266636812078445,-1.0993333339691163,2006-08-06 11:55:00,-14.03657196672422,-9.584262020614242,1.7604248417307593
1767,2006-08-06 17:10:00,2.049686795749352,-0.8508395044523993,2006-08-06 14:55:00,-15.596547974078973,-9.137077606117003,4.257909724869386
1768,2006-08-06 19:25:00,0.13169311351416704,1.4890769243240354,2006-08-06 18:25:00,-16.23000857249798,-8.531663909783516,5.912814073385413
1769,2006-08-07 09:10:00,6.146228110595417,4.0789523771830964,2006-08-07 07:30:00,-14.308862330052095,-3.4874617874146994,11.381251354724908
1770,2006-08-07 11:50:00,4.5429092544907705,-1.9429230889448752,2006-08-07 10:50:00,-12.802687659225095,-2.0285548700240272,11.882279077067967
1771,2006-08-07 12:45:00,2.1671855402650295,-4.061999984979629,2006-08-07 12:00:00,-12.180458326793282,-1.5060430073771778,11.968403704285041
1772,2006-08-08 01:20:00,1.008548127150955,0.0326666623353958,2006-08-08 01:10:00,0.42484173075916914,3.9335007586459483,5.8447130225500965
1773,2006-08-08 02:10:00,1.4375579186186926,0.5135555604679717,2006-08-08 01:30:00,1.1740874448455676,3.8854706220896773,4.895864943581158
1774,2006-08-08 10:45:00,1.0567049592706577,-2.3626666883627574,2006-08-08 10:35:00,-5.360906189504526,-6.611782556375242,4.510804164704651
1775,2006-08-08 13:50:00,1.4206040286389428,0.8725000100742495,2006-08-08 12:45:00,-8.50202928448102,-7.998127676749556,3.1677130748705062
1776,2006-08-08 14:45:00,0.3370400512037793,0.005999997258186329,2006-08-08 14:35:00,-9.8826976403495,-8.457228064668028,2.3451054256265365
1777,2006-08-08 15:45:00,1.1717619099702847,1.5018181827257981,2006-08-08 14:55:00,-10.487921119847035,-8.622636663289622,1.929424523051897
1778,2006-08-08 23:55:00,1.245529126064058,1.3128122851788473,2006-08-08 16:05:00,-13.6644747168502,-8.96277705722476,1.4933192343596395
1779,2006-08-09 02:05:00,0.560917923211894,-0.3632500058040023,2006-08-09 01:50:00,-16.167006749332916,-8.359480458326793,4.758829069219903
1780,2006-08-09 07:25:00,0.6956778718071562,1.1647692237049339,2006-08-09 04:15:00,-16.717220256852972,-7.371374296189866,6.894892320571178
1781,2006-08-09 09:50:00,2.277563949916913,0.3568928621044118,2006-08-09 08:45:00,-16.668632419221023,-6.2499943942417655,8.582931587326502
1782,2006-08-10 14:00:00,0.6860077722926348,1.1169999942183497,2006-08-10 13:45:00,3.2982263380944907,1.233322869251295,1.572005964526762
1783,2006-08-10 19:40:00,0.7210823160383668,1.5934999898076057,2006-08-10 19:05:00,-5.0450282530215045,-6.129669596609638,4.637635379061372
1784,2006-08-10 20:10:00,0.3102407566936801,-0.9886666645606358,2006-08-10 20:00:00,-6.0232825825354475,-6.592842567885732,4.348087689007482
1785,2006-08-10 23:20:00,1.7839085861108306,-0.7409057985397354,2006-08-10 21:30:00,-8.811421318064871,-7.658732162721024,3.120409737055817
